"wallHeatFlux","Points:0","Points:1","Points:2"
20.984,2,-1,0.05
42.071,2,-0.99118,0.05
42.598,2,-0.98529,0.05
43.302,2,-0.97941,0.05
43.732,2,-0.97353,0.05
43.661,2,-0.96765,0.05
43.03,2,-0.96176,0.05
41.87,2,-0.95588,0.05
40.276,2,-0.95,0.05
38.387,2,-0.94412,0.05
36.356,2,-0.93824,0.05
34.328,2,-0.93235,0.05
32.407,2,-0.92647,0.05
30.639,2,-0.92059,0.05
29.029,2,-0.91471,0.05
27.543,2,-0.90882,0.05
26.142,2,-0.90294,0.05
24.801,2,-0.89706,0.05
23.505,2,-0.89118,0.05
22.245,2,-0.88529,0.05
21.016,2,-0.87941,0.05
19.82,2,-0.87353,0.05
18.669,2,-0.86765,0.05
17.584,2,-0.86176,0.05
16.594,2,-0.85588,0.05
15.73,2,-0.85,0.05
15.025,2,-0.84412,0.05
14.508,2,-0.83824,0.05
14.204,2,-0.83235,0.05
14.119,2,-0.82647,0.05
14.235,2,-0.82059,0.05
14.531,2,-0.81471,0.05
14.991,2,-0.80882,0.05
15.589,2,-0.80294,0.05
16.304,2,-0.79706,0.05
17.116,2,-0.79118,0.05
18.005,2,-0.78529,0.05
18.961,2,-0.77941,0.05
19.972,2,-0.77353,0.05
21.031,2,-0.76765,0.05
22.137,2,-0.76176,0.05
23.285,2,-0.75588,0.05
24.472,2,-0.75,0.05
25.696,2,-0.74412,0.05
26.95,2,-0.73824,0.05
28.233,2,-0.73235,0.05
29.544,2,-0.72647,0.05
30.878,2,-0.72059,0.05
32.235,2,-0.71471,0.05
33.614,2,-0.70882,0.05
35.013,2,-0.70294,0.05
36.433,2,-0.69706,0.05
37.872,2,-0.69118,0.05
39.327,2,-0.68529,0.05
40.798,2,-0.67941,0.05
42.28,2,-0.67353,0.05
43.771,2,-0.66765,0.05
45.275,2,-0.66176,0.05
46.793,2,-0.65588,0.05
48.328,2,-0.65,0.05
49.882,2,-0.64412,0.05
51.456,2,-0.63824,0.05
53.052,2,-0.63235,0.05
54.676,2,-0.62647,0.05
56.326,2,-0.62059,0.05
58.005,2,-0.61471,0.05
59.713,2,-0.60882,0.05
61.439,2,-0.60294,0.05
63.177,2,-0.59706,0.05
64.931,2,-0.59118,0.05
66.693,2,-0.58529,0.05
68.444,2,-0.57941,0.05
70.154,2,-0.57353,0.05
71.808,2,-0.56765,0.05
73.42,2,-0.56176,0.05
75.014,2,-0.55588,0.05
76.615,2,-0.55,0.05
78.246,2,-0.54412,0.05
79.898,2,-0.53824,0.05
81.539,2,-0.53235,0.05
83.142,2,-0.52647,0.05
84.694,2,-0.52059,0.05
86.198,2,-0.51471,0.05
87.675,2,-0.50882,0.05
89.152,2,-0.50294,0.05
90.63,2,-0.49706,0.05
92.09,2,-0.49118,0.05
93.518,2,-0.48529,0.05
94.91,2,-0.47941,0.05
96.273,2,-0.47353,0.05
97.619,2,-0.46765,0.05
98.958,2,-0.46176,0.05
100.29,2,-0.45588,0.05
101.61,2,-0.45,0.05
102.89,2,-0.44412,0.05
104.13,2,-0.43824,0.05
105.32,2,-0.43235,0.05
106.46,2,-0.42647,0.05
107.55,2,-0.42059,0.05
108.58,2,-0.41471,0.05
109.57,2,-0.40882,0.05
110.5,2,-0.40294,0.05
111.38,2,-0.39706,0.05
112.22,2,-0.39118,0.05
113.02,2,-0.38529,0.05
113.77,2,-0.37941,0.05
114.49,2,-0.37353,0.05
115.17,2,-0.36765,0.05
115.82,2,-0.36176,0.05
116.43,2,-0.35588,0.05
117.02,2,-0.35,0.05
117.59,2,-0.34412,0.05
118.14,2,-0.33824,0.05
118.66,2,-0.33235,0.05
119.12,2,-0.32647,0.05
119.54,2,-0.32059,0.05
119.95,2,-0.31471,0.05
120.39,2,-0.30882,0.05
120.83,2,-0.30294,0.05
121.26,2,-0.29706,0.05
121.69,2,-0.29118,0.05
122.1,2,-0.28529,0.05
122.51,2,-0.27941,0.05
122.91,2,-0.27353,0.05
123.29,2,-0.26765,0.05
123.67,2,-0.26176,0.05
124.03,2,-0.25588,0.05
124.37,2,-0.25,0.05
124.68,2,-0.24412,0.05
124.96,2,-0.23824,0.05
125.19,2,-0.23235,0.05
125.38,2,-0.22647,0.05
125.5,2,-0.22059,0.05
125.55,2,-0.21471,0.05
125.55,2,-0.20882,0.05
125.48,2,-0.20294,0.05
125.35,2,-0.19706,0.05
125.16,2,-0.19118,0.05
124.92,2,-0.18529,0.05
124.64,2,-0.17941,0.05
124.32,2,-0.17353,0.05
123.97,2,-0.16765,0.05
123.6,2,-0.16176,0.05
123.21,2,-0.15588,0.05
122.82,2,-0.15,0.05
122.43,2,-0.14412,0.05
122.06,2,-0.13824,0.05
121.72,2,-0.13235,0.05
121.42,2,-0.12647,0.05
121.19,2,-0.12059,0.05
121.04,2,-0.11471,0.05
121,2,-0.10882,0.05
121.14,2,-0.10294,0.05
121.5,2,-0.097059,0.05
122.16,2,-0.091176,0.05
123.26,2,-0.085294,0.05
124.99,2,-0.079412,0.05
127.58,2,-0.073529,0.05
131.29,2,-0.067647,0.05
136.34,2,-0.061765,0.05
142.97,2,-0.055882,0.05
151.47,2,-0.05,0.05
162.22,2,-0.044118,0.05
175.06,2,-0.038235,0.05
189.85,2,-0.032353,0.05
202.88,2,-0.026471,0.05
205.98,2,-0.020588,0.05
185.45,2,-0.014706,0.05
405.15,2,-0.0088235,0.05
575.68,2,0,0.05
